population,median_income,total_housing_units,state_code,county_code,year
59285,69841,24731,01,001,2023
239945,75019,128518,01,003,2023
24757,44290,11702,01,005,2023
22152,51215,9090,01,007,2023
59292,61096,24793,01,009,2023
10157,36723,4554,01,011,2023
18807,44881,9841,01,013,2023
116141,55826,53271,01,015,2023
34450,49295,16427,01,017,2023
25224,50769,14663,01,019,2023
45500,61873,19702,01,021,2023
12525,44483,7164,01,023,2023
22802,49167,11727,01,025,2023
14188,51852,7072,01,027,2023
15254,53319,6853,01,029,2023
54231,64672,24399,01,031,2023
57648,56736,27887,01,033,2023
11411,42266,6444,01,035,2023
10323,57063,6042,01,037,2023
37647,50886,18676,01,039,2023
13144,49040,6562,01,041,2023
89463,60916,39538,01,043,2023
49516,53955,22910,01,045,2023
37536,36810,18949,01,047,2023
71946,51149,30853,01,049,2023
88669,75553,37085,01,051,2023
36695,44447,16759,01,053,2023
103208,53070,47487,01,055,2023
16173,50733,7798,01,057,2023
31978,51493,13965,01,059,2023
26726,50951,12555,01,061,2023
7589,31495,4258,01,063,2023
14749,41325,7514,01,065,2023
17450,60135,9151,01,067,2023
107628,57531,49774,01,069,2023
52839,49454,24797,01,071,2023
669744,64589,309542,01,073,2023
13809,47447,7107,01,075,2023
95037,59082,44801,01,077,2023
33182,60040,15317,01,079,2023
177663,61123,77509,01,081,2023
107577,83534,43487,01,083,2023
10008,35160,4827,01,085,2023
18951,45951,9664,01,087,2023
397135,83528,174709,01,089,2023
19027,44205,9837,01,091,2023
29190,50714,14156,01,093,2023
98712,60946,41531,01,095,2023
413162,58119,185413,01,097,2023
19580,40225,10193,01,099,2023
227197,58153,105799,01,101,2023
123742,64858,53569,01,103,2023
8231,34368,3961,01,105,2023
18843,47014,8726,01,107,2023
32953,47961,16124,01,109,2023
22310,51551,12461,01,111,2023
58858,50046,27531,01,113,2023
92903,78993,38667,01,115,2023
226955,93543,90805,01,117,2023
12020,37981,6329,01,119,2023
81170,56249,38285,01,121,2023
41070,57185,22967,01,123,2023
234036,63947,102935,01,125,2023
64886,54509,30230,01,127,2023
15270,60503,7774,01,129,2023
10347,42236,5314,01,131,2023
23637,48032,13111,01,133,2023
3423,72692,1174,02,013,2023
5178,107344,1391,02,016,2023
289069,98152,119717,02,020,2023
18487,70616,6009,02,050,2023
878,100625,831,02,060,2023
6964,88565,3745,02,063,2023
2626,75053,2597,02,066,2023
2029,88935,1306,02,068,2023
4780,74250,2416,02,070,2023
95555,84722,42695,02,090,2023
2077,72607,1401,02,100,2023
2313,62500,1741,02,105,2023
31969,100513,14170,02,110,2023
59843,77722,32707,02,122,2023
13870,89155,6659,02,130,2023
12878,83716,5840,02,150,2023
8277,48233,2341,02,158,2023
1007,64000,1355,02,164,2023
110677,90625,50922,02,170,2023
9925,76643,4109,02,180,2023
10891,86313,2640,02,185,2023
7611,81298,2744,02,188,2023
3394,77026,1871,02,195,2023
5730,59079,3237,02,198,2023
8393,101207,4167,02,220,2023
1308,78594,656,02,230,2023
6936,74223,3520,02,240,2023
2106,64545,1300,02,275,2023
506,80625,391,02,282,2023
5271,52642,3958,02,290,2023
65680,40338,29001,04,001,2023
125458,58970,59312,04,003,2023
144643,69748,69907,04,005,2023
53610,59089,32614,04,007,2023
38860,67326,13941,04,009,2023
9452,75239,4422,04,011,2023
16605,49506,13653,04,012,2023
4491987,85518,1850862,04,013,2023
217420,55799,119593,04,015,2023
107744,52752,56946,04,017,2023
1049947,67929,475378,04,019,2023
449219,77588,179861,04,021,2023
48209,53614,18997,04,023,2023
241656,66106,124032,04,025,2023
207685,60417,93924,04,027,2023
16773,60831,8697,05,001,2023
18722,44481,9401,05,003,2023
42150,48427,22836,05,005,2023
294541,89879,118496,05,007,2023
37896,54195,17395,05,009,2023
10354,39565,5082,05,011,2023
